Source;;
Authors of the game;Autoliv (Lindblad Autoservice) grundas;1953
Authors of the game;Autoliv introduces the worlds first side airbag in Volvo 850;1994
Authors of the game;Mängden krut i en XXXX (gram);22
Authors of the game;Antal VD i Autoliv (inkl Mikael Bratt) under åren;4
Authors of the game;Antal anställda i Vårgårda idag (ALS+ADS+FLA);378
;;
;;
Authors of the game;Längden på en IC (generell 42l) [mm];1867
Authors of the game;Omsättningen för Autoliv år 2019 i miljoner;9.801
Authors of the game;Antalet personer på MSS&Engineering;68
Authors of the game;Nummer i namnet för Limit&Margin-provning (AS????);141
;;
Authors of the game;Number of employees at the 'Component lab'-group (incl group manager);13
Authors of the game;Number of employees at the 'Crash & Logistics'-group (incl group manager);15
Authors of the game;Number of employees at 'Experiment/Centralverkstan' (incl group manager);21
;;
;;
;;
Authors of the game;Ytterdiametern på en autoliv-kopp idag [mm];78
Authors of the game;Tygfråga: Antal meter på en standardrulle (från AIL) [m];800
;;
;;
Authors of the game;Antal färger/mönster på bälten på experiment idag;18
Authors of the game;The company gets renamed to Autoliv AB;1968
Authors of the game;Lennart Lindblad solds his company to Gränges Weda;1975
Authors of the game;Volvo and Daimler-Benz introduce IC in each one of their car models;1998
Authors of the game;The increase of the rate of use of seatbelts for front occupants i Sweden after legislation 1975. [procentenheter];35
Authors of the game;U.S. Legislation requiring airbag intallation [year];1972
Authors of the game;Vilket år splittrades Veoneer och Autoliv?;2017
;;
;;
;;
;;
Authors of the game;;
Authors of the game;Ålder yngsta fastanställda ingenjör i vårgårda (Christoffer Boman?);24
Authors of the game;antal meter mellan ICA Vårgårda till Safety korridors ingången;875
Authors of the game;Tid att gå mellan Pizzeria Valentino i till krockbana 1;13
Authors of the game;The Dtex no on a Nuro-bag (Dtex=Grams per 10,000 metres of yarn);470
Authors of the game;The Dtex no on a Cybex-bag (Dtex=Grams per 10,000 metres of yarn);470
Authors of the game;Gatnummer på besöksaddressen i Vårgårda (Wallentinsvägen);22
Authors of the game;Number of countries Autoliv is active in;16
Authors of the game;Antalet Autoliv-plantor i Världen;28
Authors of the game;The year our lord and saviour Lennart Lindblad was born;1929
Authors of the game;The year Autoliv acquired by Gränges Weda AB;1975
Authors of the game;Distance between GIC and Vårgårda station [m];1300
Authors of the game;Distance between GIC and ICA Matmagasinet, Vårgårda [m];950
Authors of the game;Distance between GIC and McDonalds, Vårgårda [m];550
biluppgifter.se;Number of vehicles registered to Autoliv Sverige Aktiebolag july 2023 ;59
Authors of the game;Average weight coffee lungo in Autoliv Coffee machine;396
Authors of the game;Number of meeting rooms in Vårgårda avalible to book in the 'Room finder' in Outlook;20
Authors of the game;Number of internal courses avalible in Autoliv Learning Center (ALC) in August 2023;23
Authors of the game;AFIS-number for 'OT-Comp & Flex leave';433
Authors of the game;Number of manufactured seat belts 2002 (KSEK);90125
Authors of the game;Number of manufactured front airbag modules 2002 (KSEK);2600
Authors of the game;Number of manufactured side airbag modules 2002 (KSEK);1500
Authors of the game;Number of manufactured whiplashreclinder;1000
;;1800
;;
;;
;;
;;
;;
;;
Chat GPT;What is the approximate number of road traffic-related fatalities worldwide in a year (in thousands)?;1350
Chat GPT;On average, how many people die each day due to road accidents in the United States?;90
Chat GPT;What is the estimated global annual cost of road traffic crashes (in billions)?;518
Chat GPT;How many road traffic deaths per 100,000 population are considered a high-income country average?;9
Chat GPT;What percentage of road traffic deaths involve pedestrians?;0.22
Chat GPT;How many times more likely are motorcyclists to die in a road crash compared to car occupants?;28
Chat GPT;What percentage of road crashes are estimated to be caused by excessive speed?;0.3
Chat GPT;What percentage of road accidents involve alcohol or drugs as a contributing factor?;0.33
