;;;;
Antalet personer på MSS&Engineering;68;Sofia;;
Omsättningen för Autoliv år 2019 i miljoner;10;Sofia;;
Antalet tusen liv Autolivs produkter räddade år 2021;35;Autoliv.com;;
Antalet år sedan Autoliv startade;70;duh;;
Populationen i Vårgårda kommun (i tusen);12;wikipedia;;
mg/g Nikotin i en  Vårgårda-snus av normal styrka;10;;;
Antal g kolhydrater i en Happy Meal McToast Kalkon (per 100g);47;McDonalds.se;;
De två sista siffrorna i numret till receptionen (Switch board phone);0;Lifenet;;
Antalet trekantiga trappsteg i spiraltrappan längst ner i safety-gången;23;;;
Numret på AS-standarden för Limit and Margin Testing for Airbag Modules minus hundra;41;AS-standardena;;
Halva längden, i millimeter, på en ASP-5.1 P14 gasgenerator;65;Ritning 6241019 001;;
Året, utan århundrade, då Lennart Lindblad föddes;29;Wikipedia;;
Antalet länder vi har plantor i;28;Autoliv.com;;
Antalet miljoner USD Autoliv hade i omsättning 2022;8;Autoliv.com;;
Antalet hundra-tusen allvarliga olyckor våra produkter förhindrar varje år;3;Autoliv.com;;
"Numret på symaskinsoljan ""Bayol XX"" som används i experiment ";85;;;
Hur många pallar finns det i safey-gången;8;;;
Antalet kuddar i safety-gången;13;;;
Antalet händelser på tidslinjen i safety-gången;58;;;
Antalet analoga kanaler i DAU i Lab 1;16;Johnny;;
"Antalet ""Facilities"" i Autoliv Americas";18;Lifenet;;
"Antalet ""Product lines"" i Lifenet ";3;Lifenet;;
Antalet personer i Board of Directors ;11;Lifenet;;
Ungefärligt antalet anställda i Autoliv i Kina i tusental;9;Lifenet;;
"Antalet Autoliv-koppar i skåpet märkt ""Muggar"" i Teknikkontorets fikarum den 31 augusti 2023, kl 12:57";40;Patrik;;
Antalet knappar på kortläsarna in till TC-korridoren;16;Patrik;;
Antalet element i Autoliv Strategy Framework är;4;Lifenet;;
"Antalet år efter grundandet 1953 som företaget byter namn till ""Autoliv AB""";41;Lifenet;;
Antalet år mellan Autoliv IC och Autoliv Hood lifter introduceras på marknaden;7;Lifenet;;
Antalet år sedan Veoneer grundades;5;Lifenet;;
"Antalet träffar på Google.se (2023-08-31, kl 13:00) på ""Autoliv i Vårgårda"" i tusental";39;Google.se;;
